name,distance,time,use_other_solution,share_chair_weights
Distance-Cooperative-Selfless,1,0,TRUE,TRUE
Time-Cooperative-Selfless,0,1,TRUE,TRUE
Balanced-Cooperative-Selfless,0.5,0.5,TRUE,TRUE
Distance-Competitive-Selfless,1,0,FALSE,TRUE
Time-Competitive-Selfless,0,1,FALSE,TRUE
Balanced-Competitive-Selfless,0.5,0.5,FALSE,TRUE
Distance-Cooperative-Selfish,1,0,TRUE,FALSE
Time-Cooperative-Selfish,0,1,TRUE,FALSE
Balanced-Cooperative-Selfish,0.5,0.5,TRUE,FALSE
Distance-Competitive-Selfish,1,0,FALSE,FALSE
Time-Competitive-Selfish,0,1,FALSE,FALSE
Balanced-Competitive-Selfish,0.5,0.5,FALSE,FALSE