Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfish,Distance-Cooperative-Selfless,Balanced-Cooperative-Selfless,Time-Cooperative-Selfless,Balanced-Cooperative-Selfish,Time-Cooperative-Selfish
1,2022-04-24 13:49:14.517573,Time-Cooperative-Selfish,0.15807494159645963,0.15369989389898334,0.15081785663034117,0.15327196707531363,0.14420156202352902,0.14736257250929558,0.15807494159645963
2,2022-04-24 13:49:45.098499,Time-Cooperative-Selfish,0.17831834292806145,0.16161512238787695,0.17382588500601895,0.16903609504016395,0.16772202575782882,0.16997241135399385,0.17831834292806145
3,2022-04-24 13:50:15.555301,Distance-Cooperative-Selfless,0.19673531468616828,0.1806818570833097,0.19673531468616828,0.18719837811478038,0.18340386364843023,0.18979915889567436,0.18893900420612156
4,2022-04-24 13:50:46.116010,Distance-Cooperative-Selfless,0.21162814830036464,0.20712417397419258,0.21162814830036464,0.20213158348546334,0.1982418491885639,0.20072275544961266,0.20279881741914052
5,2022-04-24 13:51:16.640063,Distance-Cooperative-Selfless,0.2272711398051625,0.21259781059242305,0.2272711398051625,0.2198578744137556,0.21267591326840063,0.22066164245363754,0.21368491928342945
6,2022-04-24 13:51:47.156697,Distance-Cooperative-Selfless,0.2349897263353978,0.22654872961240097,0.2349897263353978,0.2339740909175612,0.2274436341776012,0.22949989805764023,0.2272711398051625
7,2022-04-24 13:52:17.622813,Distance-Cooperative-Selfless,0.24703995091696868,0.24297004253450571,0.24703995091696868,0.23771462502015958,0.2339740909175612,0.24029449886434892,0.23057932325995958
8,2022-04-24 13:52:48.095280,Balanced-Cooperative-Selfless,0.25245836111490355,0.2504729060973803,0.2519011637285404,0.25245836111490355,0.2501108443224513,0.2491718268727867,0.24703995091696868
9,2022-04-24 13:53:18.605879,Distance-Cooperative-Selfless,0.26508694575411024,0.2519514413957948,0.26508694575411024,0.26382506703411157,0.25505779621193414,0.25257031103341826,0.25292681636764136
10,2022-04-24 13:53:49.106845,Distance-Cooperative-Selfless,0.2778446923445126,0.26508694575411024,0.2778446923445126,0.2658397033492644,0.2706503907727052,0.2667102694454932,0.2706503907727052
11,2022-04-24 13:54:19.621337,Distance-Cooperative-Selfish,0.2872160230557037,0.2872160230557037,0.28562360959632627,0.284060337733889,0.28600858908852006,0.2736415684802219,0.2845052115024239
12,2022-04-24 13:54:50.085894,Distance-Cooperative-Selfish,0.29695885490035384,0.29695885490035384,0.29576359565712484,0.29087994455861943,0.2956092192926317,0.2935437967185367,0.29088188723440483
13,2022-04-24 13:55:20.595990,Balanced-Cooperative-Selfish,0.3056286844454326,0.3015458358868205,0.29896105350222024,0.30493280969355535,0.2982012694365534,0.3056286844454326,0.2929909032104496
14,2022-04-24 13:55:51.066768,Distance-Cooperative-Selfless,0.3165978759874241,0.3131020662376528,0.3165978759874241,0.31561851276845676,0.3056286844454326,0.3056286844454326,0.30902971245171956
15,2022-04-24 13:56:21.620262,Balanced-Cooperative-Selfless,0.3267291947841009,0.32015024041727635,0.32549638359177074,0.3267291947841009,0.3165978759874241,0.3191654924489093,0.3165978759874241
16,2022-04-24 13:56:52.136263,Time-Cooperative-Selfless,0.3325431862900058,0.3267291947841009,0.3267291947841009,0.32809643444187175,0.3325431862900058,0.3274237765363193,0.3267291947841009
17,2022-04-24 13:57:22.660590,Balanced-Cooperative-Selfless,0.3433878385167481,0.3280941169215633,0.3344230471206816,0.3433878385167481,0.3325431862900058,0.33742167719575417,0.3325431862900058
18,2022-04-24 13:57:53.307193,Balanced-Cooperative-Selfless,0.35690353850651685,0.34902140660857434,0.3453125582950251,0.35690353850651685,0.3433878385167481,0.3433878385167481,0.35596992346009176
19,2022-04-24 13:58:23.830010,Balanced-Cooperative-Selfless,0.36511879914269635,0.36495835567841667,0.3612515289767676,0.36511879914269635,0.3627577427410889,0.36315245631710186,0.3627577427410889
20,2022-04-24 13:58:54.389002,Balanced-Cooperative-Selfish,0.37943394908555766,0.3699534021985693,0.37385541292365876,0.37614409781494484,0.37385541292365876,0.37943394908555766,0.37054214550786674
21,2022-04-24 13:59:25.024820,Balanced-Cooperative-Selfless,0.38151366151219757,0.37943394908555766,0.3796608150298417,0.38151366151219757,0.3796838873090744,0.38068913981852603,0.37653939845932366
22,2022-04-24 13:59:55.598186,Distance-Cooperative-Selfless,0.39713349922727376,0.3865469847357808,0.39713349922727376,0.3870355796883708,0.3834598211386288,0.3838183796038955,0.3876213606143039
23,2022-04-24 14:00:26.141998,Distance-Cooperative-Selfless,0.4039173187742549,0.3958451708917949,0.4039173187742549,0.39713349922727376,0.39713349922727376,0.39850328282409303,0.40287410383782307
24,2022-04-24 14:00:56.627167,Time-Cooperative-Selfless,0.4055569597264298,0.40364211460930977,0.4053627983109569,0.4039173187742549,0.4055569597264298,0.4039173187742549,0.40122649944658284
25,2022-04-24 14:01:27.177390,Balanced-Cooperative-Selfish,0.41033821043787033,0.4047505790932905,0.40998972178648757,0.40694430295870204,0.4055569597264298,0.41033821043787033,0.4030521030626464
26,2022-04-24 14:01:57.759937,Balanced-Cooperative-Selfish,0.4143186244721133,0.4047505790932905,0.4110360118009319,0.41033821043787033,0.41033821043787033,0.4143186244721133,0.41033821043787033
27,2022-04-24 14:02:28.209696,Distance-Cooperative-Selfless,0.4153871545623192,0.4134778155567649,0.4153871545623192,0.4143186244721133,0.4143186244721133,0.4152432225336971,0.40222071785127866
28,2022-04-24 14:02:59.008971,Distance-Cooperative-Selfless,0.41848577212702104,0.4153871545623192,0.41848577212702104,0.4153871545623192,0.4153871545623192,0.4153871545623192,0.4075908722861336
29,2022-04-24 14:03:29.496971,Time-Cooperative-Selfish,0.42208730969397495,0.41848577212702104,0.41848577212702104,0.41848577212702104,0.41848577212702104,0.41848577212702104,0.42208730969397495
30,2022-04-24 14:03:59.960442,Distance-Cooperative-Selfless,0.42208730969397495,0.41907384495302863,0.42208730969397495,0.42208730969397495,0.42208730969397495,0.42208730969397495,0.42208730969397495
31,2022-04-24 14:04:30.442515,Time-Cooperative-Selfless,0.4243193422599887,0.41907384495302863,0.41907384495302863,0.4230469463512191,0.4243193422599887,0.4089721119853318,0.42208730969397495
32,2022-04-24 14:05:01.013567,Balanced-Cooperative-Selfless,0.4243193422599887,0.4197689417428275,0.4214466674331887,0.4243193422599887,0.4243193422599887,0.4243193422599887,0.38811384658075043
33,2022-04-24 14:05:31.598264,Balanced-Cooperative-Selfless,0.4243193422599887,0.4214466674331887,0.42168644120665266,0.4243193422599887,0.4243193422599887,0.4243193422599887,0.4153878357112106
34,2022-04-24 14:06:02.057921,Balanced-Cooperative-Selfless,0.4265944651828725,0.4214466674331887,0.42168644120665266,0.4265944651828725,0.4243193422599887,0.42443612249013046,0.4243193422599887
35,2022-04-24 14:06:32.598620,Balanced-Cooperative-Selfless,0.4265944651828725,0.4214466674331887,0.4214466674331887,0.4265944651828725,0.4265944651828725,0.4265944651828725,0.4063941544842678
36,2022-04-24 14:07:03.286692,Balanced-Cooperative-Selfless,0.4265944651828725,0.42287483701315853,0.4214466674331887,0.4265944651828725,0.4265944651828725,0.4265944651828725,0.4265944651828725
37,2022-04-24 14:07:33.766441,Balanced-Cooperative-Selfless,0.4265944651828725,0.42300083703596114,0.42300083703596114,0.4265944651828725,0.4265944651828725,0.422480698668599,0.4172952759499171
38,2022-04-24 14:08:04.493655,Balanced-Cooperative-Selfless,0.4265944651828725,0.42450110745086167,0.42300083703596114,0.4265944651828725,0.4265944651828725,0.4172952759499171,0.4265944651828725
39,2022-04-24 14:08:35.207730,Distance-Cooperative-Selfless,0.4311514266566257,0.42450110745086167,0.4311514266566257,0.4265944651828725,0.4265944651828725,0.41525787046516943,0.4265944651828725
40,2022-04-24 14:09:05.993073,Balanced-Cooperative-Selfless,0.43541643681657405,0.4259483184820547,0.4321396160762202,0.43541643681657405,0.42681530541623736,0.4330228366744217,0.4265944651828725
41,2022-04-24 14:09:36.619201,Balanced-Cooperative-Selfless,0.444058788873644,0.43278448610191417,0.4326293268885539,0.444058788873644,0.43541643681657405,0.43597201075752456,0.43541643681657405
42,2022-04-24 14:10:07.470321,Balanced-Cooperative-Selfless,0.4441361158189228,0.444058788873644,0.444058788873644,0.4441361158189228,0.444058788873644,0.444058788873644,0.4441361158189228
43,2022-04-24 14:10:38.256279,Balanced-Cooperative-Selfless,0.4444345608170774,0.444058788873644,0.4443071012547392,0.4444345608170774,0.4441361158189228,0.4441361158189228,0.4312428458787289
44,2022-04-24 14:11:08.836965,Balanced-Cooperative-Selfish,0.44458444669713204,0.4330279348607065,0.44360262519179494,0.4444345608170774,0.4444345608170774,0.44458444669713204,0.4432018138020731
45,2022-04-24 14:11:39.460356,Distance-Cooperative-Selfless,0.44918448612843487,0.4446468074382101,0.44918448612843487,0.44458444669713204,0.44458444669713204,0.44325024750872627,0.4365762914022945
46,2022-04-24 14:12:10.041248,Distance-Cooperative-Selfless,0.4561027069619678,0.4446468074382101,0.4561027069619678,0.44918448612843487,0.44918448612843487,0.44918448612843487,0.44918448612843487
47,2022-04-24 14:12:40.794446,Balanced-Cooperative-Selfless,0.4561027069619678,0.44531018158025804,0.45586521907051347,0.4561027069619678,0.4561027069619678,0.4561027069619678,0.4397914681749948
48,2022-04-24 14:13:11.279556,Balanced-Cooperative-Selfless,0.4561027069619678,0.45019181823602966,0.45586521907051347,0.4561027069619678,0.4561027069619678,0.4561027069619678,0.4560855184297794
49,2022-04-24 14:13:42.103776,Balanced-Cooperative-Selfless,0.4561027069619678,0.4434766324471509,0.45586521907051347,0.4561027069619678,0.4560855184297794,0.4561027069619678,0.4400106669119475
50,2022-04-24 14:14:12.825911,Balanced-Cooperative-Selfless,0.4561027069619678,0.43762512116806007,0.45535949280345256,0.4561027069619678,0.4560855184297794,0.44206254719463295,0.45516939571543413
51,2022-04-24 14:14:43.499982,Distance-Cooperative-Selfless,0.4574450236002467,0.45535949280345256,0.4574450236002467,0.45662332538868955,0.4560855184297794,0.44445408351486476,0.43618906879944996
52,2022-04-24 14:15:14.257099,Balanced-Cooperative-Selfish,0.4618930680274123,0.4574450236002467,0.457149804871062,0.46005942227026153,0.45662332538868955,0.4618930680274123,0.45662332538868955
53,2022-04-24 14:15:44.959633,Balanced-Cooperative-Selfless,0.46467862664643217,0.4644587686656138,0.4618930680274123,0.46467862664643217,0.45662332538868955,0.46449809359818406,0.4577343163071697
54,2022-04-24 14:16:15.588731,Balanced-Cooperative-Selfish,0.4740360963951652,0.4618004839110989,0.4654349118585523,0.4649883186628403,0.4577343163071697,0.4740360963951652,0.45681156455763217
55,2022-04-24 14:16:46.515015,Balanced-Cooperative-Selfish,0.47877761813971365,0.4740360963951652,0.4740360963951652,0.4740360963951652,0.4740360963951652,0.47877761813971365,0.4740360963951652
56,2022-04-24 14:17:17.215989,Balanced-Cooperative-Selfless,0.48205348559923855,0.4714536926347625,0.47877761813971365,0.48205348559923855,0.47877761813971365,0.47902224560294826,0.4698268380692397
57,2022-04-24 14:17:47.983264,Time-Cooperative-Selfish,0.4912893133274926,0.4714536926347625,0.48675076963423725,0.48205348559923855,0.485481003906569,0.4764833455178804,0.4912893133274926
58,2022-04-24 14:18:18.594927,Distance-Cooperative-Selfish,0.4959320955951284,0.4959320955951284,0.4912893133274926,0.4934447555965682,0.49473924852197076,0.4912893133274926,0.469901706724155
59,2022-04-24 14:18:49.314196,Distance-Cooperative-Selfless,0.49812856014746787,0.4959320955951284,0.49812856014746787,0.4969251363462052,0.4959320955951284,0.4888922152793487,0.4962816361389444
60,2022-04-24 14:19:20.034284,Balanced-Cooperative-Selfish,0.5020591963899073,0.4849184147624069,0.49812856014746787,0.49812856014746787,0.49812856014746787,0.5020591963899073,0.49769787006231947
