Round,Time,Best Solution Stakeholder,Best Solution Fitness,Balanced-Cooperative-Selfish,Distance-Cooperative-Selfish,Time-Cooperative-Selfish,Distance-Competitive-Selfish,Time-Competitive-Selfish,Balanced-Competitive-Selfish
1,2022-04-12 08:16:59.725952,Balanced-Cooperative-Selfish,0.15891851258858092,0.15891851258858092,0.15465895972393173,0.15517373925213276,0.15472636184388616,0.1501824508298634,0.1481930846751342
2,2022-04-12 08:17:30.108482,Balanced-Cooperative-Selfish,0.17813330284543094,0.17813330284543094,0.17729846202667165,0.1745889120513876,0.17001756441240626,0.1697610195205003,0.15993858019368834
3,2022-04-12 08:18:00.528086,Distance-Cooperative-Selfish,0.19388588282902494,0.1861135397783331,0.19388588282902494,0.18164662643868343,0.1903478449054338,0.1738922242564846,0.17987943724352812
4,2022-04-12 08:18:30.972443,Distance-Cooperative-Selfish,0.2052289102176957,0.20005799712627564,0.2052289102176957,0.20342300530196855,0.1946622138601406,0.1881025588169738,0.19627658654466826
5,2022-04-12 08:19:01.266170,Distance-Cooperative-Selfish,0.21462748444106206,0.21289522087120777,0.21462748444106206,0.20755856793269964,0.20586288124747035,0.20489508649662416,0.2072648275782042
6,2022-04-12 08:19:31.620938,Distance-Cooperative-Selfish,0.23009220203562444,0.2255936050608673,0.23009220203562444,0.21160563620521058,0.21702137968461274,0.21302452351413165,0.21666633913424305
7,2022-04-12 08:20:02.137861,Distance-Cooperative-Selfish,0.2483016823437729,0.23197686356112823,0.2483016823437729,0.23232492988566508,0.2300097210609294,0.22598868604976782,0.22798924385352162
8,2022-04-12 08:20:32.564972,Time-Cooperative-Selfish,0.25691014072884916,0.2523461037786423,0.2533499993583087,0.25691014072884916,0.24204078257386358,0.23473280359366092,0.22940768795030705
9,2022-04-12 08:21:02.971209,Time-Cooperative-Selfish,0.2616484482506431,0.25691014072884916,0.25861267102678537,0.2616484482506431,0.24754799028755106,0.2484218005035887,0.24376045309036387
10,2022-04-12 08:21:33.342396,Balanced-Cooperative-Selfish,0.2688333290155301,0.2688333290155301,0.2685873708440969,0.2601652559894083,0.2565046326045286,0.24873443071882023,0.25377286679615335
11,2022-04-12 08:22:03.783397,Balanced-Cooperative-Selfish,0.28657196737027235,0.28657196737027235,0.28169184783976653,0.27516391214038755,0.2701089105175751,0.25510452718777166,0.2635836823109471
12,2022-04-12 08:22:34.120522,Time-Cooperative-Selfish,0.29215460543180377,0.2867163613478094,0.28657196737027235,0.29215460543180377,0.2701089105175751,0.25510452718777166,0.26748063223027263
13,2022-04-12 08:23:04.615253,Time-Cooperative-Selfish,0.3027511626375046,0.2952724488661496,0.29081392317589966,0.3027511626375046,0.2796757818936806,0.25339902467508096,0.2740106303991452
14,2022-04-12 08:23:35.103060,Distance-Cooperative-Selfish,0.31047723414638534,0.3042539439160179,0.31047723414638534,0.30361961084521044,0.2819331513265857,0.26112031461413976,0.2751298332901704
15,2022-04-12 08:24:05.634118,Balanced-Cooperative-Selfish,0.32397428713038434,0.32397428713038434,0.3109312913506009,0.32293115624086477,0.28565930294576813,0.27012610356540323,0.277437208847321
16,2022-04-12 08:24:36.058685,Balanced-Cooperative-Selfish,0.32397428713038434,0.32397428713038434,0.32293115624086477,0.32397428713038434,0.29104319198588796,0.27012610356540323,0.2827551356397989
17,2022-04-12 08:25:06.549631,Distance-Cooperative-Selfish,0.32919619422503654,0.3144851549330161,0.32919619422503654,0.32397428713038434,0.299724983409949,0.27027101239576773,0.28785762722275354
18,2022-04-12 08:25:37.005730,Distance-Cooperative-Selfish,0.33821109850142983,0.32919619422503654,0.33821109850142983,0.32708319700746813,0.2999759432125264,0.2729660075272744,0.29475988269197295
19,2022-04-12 08:26:07.435029,Distance-Cooperative-Selfish,0.3391560742216241,0.33821109850142983,0.3391560742216241,0.33821109850142983,0.3038565147330971,0.2729660075272744,0.3001207979087537
20,2022-04-12 08:26:37.869139,Balanced-Cooperative-Selfish,0.3427601648486801,0.3427601648486801,0.3391560742216241,0.3381748587092494,0.3104961544234131,0.2752425251586572,0.30600633752015705
21,2022-04-12 08:27:08.292260,Balanced-Cooperative-Selfish,0.34692613000280703,0.34692613000280703,0.3427601648486801,0.3374381365110797,0.31195547631136944,0.2752425251586572,0.30600633752015705
22,2022-04-12 08:27:38.871172,Balanced-Cooperative-Selfish,0.3485005779658049,0.3485005779658049,0.34692613000280703,0.34692613000280703,0.31195547631136944,0.2810601575418723,0.3060663122912206
23,2022-04-12 08:28:09.440104,Balanced-Cooperative-Selfish,0.3537185611116543,0.3537185611116543,0.3495849924766179,0.3380298227055531,0.32560220249220173,0.28068601773124885,0.3060663122912206
24,2022-04-12 08:28:39.965479,Distance-Cooperative-Selfish,0.3577452091960554,0.3537185611116543,0.3577452091960554,0.3537185611116543,0.32235785320192445,0.28068601773124885,0.3060663122912206
25,2022-04-12 08:29:10.236064,Balanced-Cooperative-Selfish,0.3682081506357368,0.3682081506357368,0.3682081506357368,0.35582890087005775,0.32560220249220173,0.2830004790312195,0.3060663122912206
26,2022-04-12 08:29:40.649055,Distance-Cooperative-Selfish,0.38235709520016675,0.3682081506357368,0.38235709520016675,0.3682081506357368,0.32617767890236155,0.2830004790312195,0.3156582103629066
27,2022-04-12 08:30:11.148283,Time-Cooperative-Selfish,0.3888346514213272,0.3885783608748117,0.38615311591597523,0.3888346514213272,0.3396061113726157,0.2830004790312195,0.3156582103629066
28,2022-04-12 08:30:41.535316,Time-Cooperative-Selfish,0.3913217304803662,0.38901176772929574,0.387420527341079,0.3913217304803662,0.3384023055043883,0.2817715901631404,0.31801131329726784
29,2022-04-12 08:31:12.046921,Distance-Cooperative-Selfish,0.4028064015134123,0.39209777079696334,0.4028064015134123,0.40071100788893477,0.3412849955399908,0.28067759251953095,0.31801131329726784
30,2022-04-12 08:31:42.590632,Distance-Cooperative-Selfish,0.41508300705873913,0.4075677007987968,0.41508300705873913,0.4010629672697731,0.34945150613159226,0.28306635857949725,0.31801131329726784
31,2022-04-12 08:32:13.128520,Balanced-Cooperative-Selfish,0.41631690885037786,0.41631690885037786,0.4161083815997996,0.41515568901857663,0.3610313642345938,0.28676682621831534,0.31801131329726784
32,2022-04-12 08:32:43.689456,Balanced-Cooperative-Selfish,0.43141512968095863,0.43141512968095863,0.4303648480015701,0.4228615949284342,0.36207714119907175,0.294223023297709,0.31801131329726784
33,2022-04-12 08:33:14.277207,Distance-Cooperative-Selfish,0.43852052227065946,0.43181052269740683,0.43852052227065946,0.43062850734386404,0.367776258872711,0.2958347410217238,0.3209613704348507
34,2022-04-12 08:33:44.819405,Time-Cooperative-Selfish,0.43920687065882325,0.43852052227065946,0.43852052227065946,0.43920687065882325,0.3670480242436681,0.3022132813686407,0.3236140743178591
35,2022-04-12 08:34:15.403357,Distance-Cooperative-Selfish,0.44160951148908134,0.43920687065882325,0.44160951148908134,0.43796342132513155,0.37066784430846444,0.3072318415480968,0.3274706944011901
36,2022-04-12 08:34:45.959101,Time-Cooperative-Selfish,0.44525757568174734,0.44160951148908134,0.4430595633101113,0.44525757568174734,0.36846107495329994,0.30533554153258885,0.32838279643430046
37,2022-04-12 08:35:16.446486,Time-Cooperative-Selfish,0.44940277359159453,0.4459474346333626,0.44525757568174734,0.44940277359159453,0.3773341702943001,0.30533554153258885,0.32838279643430046
38,2022-04-12 08:35:46.940642,Balanced-Cooperative-Selfish,0.4504483744703192,0.4504483744703192,0.44940277359159453,0.44010000015297157,0.37894704965672915,0.30707586070533677,0.3292855419195319
39,2022-04-12 08:36:17.516083,Balanced-Cooperative-Selfish,0.45279142351162605,0.45279142351162605,0.43962806054945175,0.448771189576252,0.38116610683357927,0.2951455497509768,0.338117571616869
40,2022-04-12 08:36:48.030773,Balanced-Cooperative-Selfish,0.463463865247877,0.463463865247877,0.45401067041415827,0.448771189576252,0.3856736374194638,0.307812221482175,0.3400267497401606
41,2022-04-12 08:37:18.569544,Distance-Cooperative-Selfish,0.463463865247877,0.4441831611954348,0.463463865247877,0.463463865247877,0.3856736374194638,0.30942989527076464,0.34273689120112305
42,2022-04-12 08:37:49.053191,Balanced-Cooperative-Selfish,0.46390445888259535,0.46390445888259535,0.45184341601857203,0.45117384520502035,0.3856736374194638,0.31082076877517756,0.344519873984069
43,2022-04-12 08:38:19.477025,Balanced-Cooperative-Selfish,0.464055188079184,0.464055188079184,0.461743711487674,0.4638008361596121,0.37909286347656285,0.31940709155623964,0.344519873984069
44,2022-04-12 08:38:50.016486,Time-Cooperative-Selfish,0.464055188079184,0.4499856114902887,0.4624847888559325,0.464055188079184,0.3807134730947515,0.31940709155623964,0.344519873984069
45,2022-04-12 08:39:20.305858,Distance-Cooperative-Selfish,0.46603662253311634,0.46427492226428996,0.46603662253311634,0.45289005064374815,0.3807134730947515,0.31940709155623964,0.3474987278952409
46,2022-04-12 08:39:50.919240,Distance-Cooperative-Selfish,0.47107399991374255,0.45948589715913774,0.47107399991374255,0.4661785329266932,0.3831638171879685,0.31940709155623964,0.3484726509115347
47,2022-04-12 08:40:21.519049,Time-Cooperative-Selfish,0.47133288942861745,0.47107399991374255,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.31940709155623964,0.3484726509115347
48,2022-04-12 08:40:52.165105,Balanced-Cooperative-Selfish,0.47133288942861745,0.47133288942861745,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.31940709155623964,0.349814383149596
49,2022-04-12 08:41:22.659390,Time-Cooperative-Selfish,0.47133288942861745,0.45781786198437785,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.30678409603552953,0.349814383149596
50,2022-04-12 08:41:53.200853,Balanced-Cooperative-Selfish,0.47388462570005924,0.47388462570005924,0.46460092726314783,0.4709040382587885,0.38567021350637276,0.3203049186082185,0.3529970098846223
51,2022-04-12 08:42:23.676417,Time-Cooperative-Selfish,0.47388462570005924,0.4592661441211197,0.4668682308472673,0.47388462570005924,0.38567021350637276,0.3203049186082185,0.3529970098846223
52,2022-04-12 08:42:54.059224,Time-Cooperative-Selfish,0.47388462570005924,0.4659773417905132,0.4640498245524621,0.47388462570005924,0.38567021350637276,0.3203049186082185,0.3544561504603458
53,2022-04-12 08:43:24.700212,Time-Cooperative-Selfish,0.4596390601445934,0.4588936710433542,0.4427155611909787,0.4596390601445934,0.38567021350637276,0.3203049186082185,0.3544561504603458
54,2022-04-12 08:43:55.286098,Distance-Cooperative-Selfish,0.47220774260429954,0.4587501261130372,0.47220774260429954,0.45781786198437785,0.38567021350637276,0.3203049186082185,0.3615630142056093
55,2022-04-12 08:44:25.903977,Distance-Cooperative-Selfish,0.47318912981864436,0.4489074354974,0.47318912981864436,0.45781786198437785,0.38567021350637276,0.3203049186082185,0.3680181607962475
56,2022-04-12 08:44:56.445817,Balanced-Cooperative-Selfish,0.47388462570005924,0.47388462570005924,0.47318912981864436,0.47388462570005924,0.38567021350637276,0.31545205002288756,0.3680181607962475
57,2022-04-12 08:45:27.141151,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.45756729531944895,0.47388462570005924,0.38567021350637276,0.32492761937885,0.3701017890226821
58,2022-04-12 08:45:57.757917,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.4650158016437796,0.47333686961061305,0.38567021350637276,0.32492761937885,0.3701017890226821
59,2022-04-12 08:46:28.270277,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.4658850496027579,0.4741137694186557,0.3823732047903114,0.32555018996305546,0.3734282733891014
60,2022-04-12 08:46:58.858337,Distance-Cooperative-Selfish,0.47625881821586963,0.47595244115580276,0.47625881821586963,0.4741137694186557,0.38567021350637276,0.32637543189047075,0.3734282733891014
